dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
0528_green_block_mem,000000,put the green block to the plate,0,82,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=83; peak_vel=0.17557
0528_green_block_mem,000005,put the green block to the plate,61,161,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.25084
0528_green_block_mem,000006,put the green block to the plate,0,57,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=58; peak_vel=0.18613
0528_green_block_mem,000006,put the green block to the plate,58,155,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=58; peak_vel=0.18613
0528_green_block_mem,000007,put the green block to the plate,0,67,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=68; peak_vel=0.17503
0528_green_block_mem,000007,put the green block to the plate,68,174,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=68; peak_vel=0.17503
0528_green_block_mem,000008,put the green block to the plate,0,64,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.51890
0528_green_block_mem,000008,put the green block to the plate,65,161,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.51890
0528_green_block_mem,000009,put the green block to the plate,0,59,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=60; peak_vel=0.24924
0528_green_block_mem,000009,put the green block to the plate,60,158,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=60; peak_vel=0.24924
0528_green_block_mem,000010,put the green block to the plate,0,55,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=56; peak_vel=0.29519
0528_green_block_mem,000010,put the green block to the plate,56,151,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=56; peak_vel=0.29519
0528_green_block_mem,000011,put the green block to the plate,0,70,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.46201
0528_green_block_mem,000011,put the green block to the plate,71,170,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.46201
0528_green_block_mem,000012,put the green block to the plate,0,52,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=53; peak_vel=0.32036
0528_green_block_mem,000012,put the green block to the plate,53,149,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=53; peak_vel=0.32036
0528_green_block_mem,000013,put the green block to the plate,0,60,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.27018
0528_green_block_mem,000013,put the green block to the plate,61,169,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.27018
0528_green_block_mem,000014,put the green block to the plate,0,90,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=91; peak_vel=0.16368
0528_green_block_mem,000014,put the green block to the plate,91,199,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=91; peak_vel=0.16368
0528_green_block_mem,000015,put the green block to the plate,0,63,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=64; peak_vel=0.20235
0528_green_block_mem,000015,put the green block to the plate,64,155,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=64; peak_vel=0.20235
0528_green_block_mem,000016,put the green block to the plate,0,57,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=58; peak_vel=0.62295
0528_green_block_mem,000016,put the green block to the plate,58,154,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=58; peak_vel=0.62295
0528_green_block_mem,000017,put the green block to the plate,0,68,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.34732
0528_green_block_mem,000017,put the green block to the plate,69,178,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.34732
0528_green_block_mem,000018,put the green block to the plate,0,64,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.15582
0528_green_block_mem,000018,put the green block to the plate,65,180,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.15582
0528_green_block_mem,000019,put the green block to the plate,0,92,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=93; peak_vel=0.14405
0528_green_block_mem,000019,put the green block to the plate,93,208,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=93; peak_vel=0.14405
0528_green_block_mem,000020,put the green block to the plate,0,74,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=75; peak_vel=0.52219
0528_green_block_mem,000020,put the green block to the plate,75,158,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=75; peak_vel=0.52219
0528_green_block_mem,000021,put the green block to the plate,0,73,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=74; peak_vel=0.17958
0528_green_block_mem,000021,put the green block to the plate,74,180,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=74; peak_vel=0.17958
0528_green_block_mem,000022,put the green block to the plate,0,68,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.26519
0528_green_block_mem,000022,put the green block to the plate,69,164,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.26519
0528_green_block_mem,000023,put the green block to the plate,0,78,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=79; peak_vel=0.16967
0528_green_block_mem,000023,put the green block to the plate,79,189,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=79; peak_vel=0.16967
0528_green_block_mem,000024,put the green block to the plate,0,77,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=78; peak_vel=0.20337
0528_green_block_mem,000024,put the green block to the plate,78,185,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=78; peak_vel=0.20337
0528_green_block_mem,000025,put the green block to the plate,0,70,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.19592
0528_green_block_mem,000025,put the green block to the plate,71,176,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.19592
0528_green_block_mem,000026,put the green block to the plate,0,79,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=80; peak_vel=0.17809
0528_green_block_mem,000026,put the green block to the plate,80,194,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=80; peak_vel=0.17809
0528_green_block_mem,000027,put the green block to the plate,0,85,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=86; peak_vel=0.16171
0528_green_block_mem,000027,put the green block to the plate,86,198,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=86; peak_vel=0.16171
0528_green_block_mem,000028,put the green block to the plate,0,78,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=79; peak_vel=0.14069
0528_green_block_mem,000028,put the green block to the plate,79,188,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=79; peak_vel=0.14069
0528_green_block_mem,000029,put the green block to the plate,0,66,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=67; peak_vel=0.25689
0528_green_block_mem,000029,put the green block to the plate,67,159,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=67; peak_vel=0.25689
0528_green_block_mem,000030,put the green block to the plate,0,75,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=76; peak_vel=0.40689
0528_green_block_mem,000030,put the green block to the plate,76,178,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=76; peak_vel=0.40689
0528_yellow_block_mem,000000,put the yellow block to the plate,0,92,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=93; peak_vel=0.18484
0528_yellow_block_mem,000000,put the yellow block to the plate,93,196,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=93; peak_vel=0.18484
0528_yellow_block_mem,000001,put the yellow block to the plate,0,75,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=76; peak_vel=0.14981
0528_yellow_block_mem,000001,put the yellow block to the plate,76,188,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=76; peak_vel=0.14981
0528_yellow_block_mem,000002,put the yellow block to the plate,0,71,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=72; peak_vel=0.14529
0528_yellow_block_mem,000002,put the yellow block to the plate,72,177,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=72; peak_vel=0.14529
0528_yellow_block_mem,000003,put the yellow block to the plate,0,87,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=88; peak_vel=0.17444
0528_yellow_block_mem,000003,put the yellow block to the plate,88,187,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=88; peak_vel=0.17444
0528_yellow_block_mem,000004,put the yellow block to the plate,0,60,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.23857
0528_yellow_block_mem,000004,put the yellow block to the plate,61,148,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.23857
0528_yellow_block_mem,000005,put the yellow block to the plate,0,80,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=81; peak_vel=0.16701
0528_yellow_block_mem,000005,put the yellow block to the plate,81,177,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=81; peak_vel=0.16701
0528_yellow_block_mem,000006,put the yellow block to the plate,0,65,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=66; peak_vel=0.17728
0528_yellow_block_mem,000006,put the yellow block to the plate,66,170,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=66; peak_vel=0.17728
0528_yellow_block_mem,000007,put the yellow block to the plate,0,75,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=76; peak_vel=0.18903
0528_yellow_block_mem,000007,put the yellow block to the plate,76,171,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=76; peak_vel=0.18903
0528_yellow_block_mem,000008,put the yellow block to the plate,0,65,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=66; peak_vel=0.18753
0528_yellow_block_mem,000008,put the yellow block to the plate,66,160,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=66; peak_vel=0.18753
0528_yellow_block_mem,000009,put the yellow block to the plate,0,62,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=63; peak_vel=0.17007
0528_yellow_block_mem,000009,put the yellow block to the plate,63,149,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=63; peak_vel=0.17007
0528_yellow_block_mem,000010,put the yellow block to the plate,0,64,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.17352
0528_yellow_block_mem,000010,put the yellow block to the plate,65,158,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.17352
0528_yellow_block_mem,000011,put the yellow block to the plate,0,69,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=70; peak_vel=0.15885
0528_yellow_block_mem,000011,put the yellow block to the plate,70,169,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=70; peak_vel=0.15885
0528_yellow_block_mem,000012,put the yellow block to the plate,0,82,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=83; peak_vel=0.18480
0528_yellow_block_mem,000012,put the yellow block to the plate,83,183,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=83; peak_vel=0.18480
0528_yellow_block_mem,000013,put the yellow block to the plate,0,88,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=89; peak_vel=0.17958
0528_yellow_block_mem,000013,put the yellow block to the plate,89,191,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=89; peak_vel=0.17958
0528_yellow_block_mem,000014,put the yellow block to the plate,0,69,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=70; peak_vel=0.37807
0528_yellow_block_mem,000014,put the yellow block to the plate,70,146,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=70; peak_vel=0.37807
0528_yellow_block_mem,000015,put the yellow block to the plate,0,70,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.16263
0528_yellow_block_mem,000015,put the yellow block to the plate,71,183,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.16263
0528_yellow_block_mem,000016,put the yellow block to the plate,0,68,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.21258
0528_yellow_block_mem,000016,put the yellow block to the plate,69,163,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.21258
0528_yellow_block_mem,000017,put the yellow block to the plate,0,61,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=62; peak_vel=0.17250
0528_yellow_block_mem,000017,put the yellow block to the plate,62,150,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=62; peak_vel=0.17250
0528_yellow_block_mem,000018,put the yellow block to the plate,0,59,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=60; peak_vel=0.33840
0528_yellow_block_mem,000018,put the yellow block to the plate,60,151,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=60; peak_vel=0.33840
0528_yellow_block_mem,000019,put the yellow block to the plate,0,64,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.16987
0528_yellow_block_mem,000019,put the yellow block to the plate,65,146,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.16987
0528_yellow_block_mem,000020,put the yellow block to the plate,0,77,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=78; peak_vel=0.16407
0528_yellow_block_mem,000020,put the yellow block to the plate,78,170,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=78; peak_vel=0.16407
0528_yellow_block_mem,000021,put the yellow block to the plate,0,60,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.33297
0528_yellow_block_mem,000021,put the yellow block to the plate,61,145,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.33297
0528_yellow_block_mem,000022,put the yellow block to the plate,0,61,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=62; peak_vel=0.14007
0528_yellow_block_mem,000022,put the yellow block to the plate,62,154,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=62; peak_vel=0.14007
0528_yellow_block_mem,000023,put the yellow block to the plate,0,65,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=66; peak_vel=0.48029
0528_yellow_block_mem,000023,put the yellow block to the plate,66,146,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=66; peak_vel=0.48029
0528_yellow_block_mem,000024,put the yellow block to the plate,0,89,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=90; peak_vel=0.13532
0528_yellow_block_mem,000024,put the yellow block to the plate,90,191,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=90; peak_vel=0.13532
0528_yellow_block_mem,000025,put the yellow block to the plate,0,64,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.21943
0528_yellow_block_mem,000025,put the yellow block to the plate,65,158,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.21943
0528_yellow_block_mem,000026,put the yellow block to the plate,0,81,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=82; peak_vel=0.15118
0528_yellow_block_mem,000026,put the yellow block to the plate,82,195,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=82; peak_vel=0.15118
0528_yellow_block_mem,000027,put the yellow block to the plate,0,84,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=85; peak_vel=0.16799
0528_yellow_block_mem,000027,put the yellow block to the plate,85,187,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=85; peak_vel=0.16799
0528_yellow_block_mem,000028,put the yellow block to the plate,0,70,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.17163
0528_yellow_block_mem,000028,put the yellow block to the plate,71,191,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.17163
0528_yellow_block_mem,000029,put the yellow block to the plate,0,69,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=70; peak_vel=0.19348
0528_yellow_block_mem,000029,put the yellow block to the plate,70,177,put_yellow_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=70; peak_vel=0.19348
