dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
data_robot_give_0526,000000,take the marker from the human,0,78,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.01702->0.00452
data_robot_give_0526,000012,take the marker from the human,93,165,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.01704->0.00541
data_robot_give_0526,000013,take the marker from the human,0,99,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=100-111; levels=0.01931->0.00512
data_robot_give_0526,000013,take the marker from the human,100,170,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=100-111; levels=0.01931->0.00512
data_robot_give_0526,000014,take the marker from the human,0,77,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=78-89; levels=0.01727->0.00511
data_robot_give_0526,000014,take the marker from the human,78,121,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=78-89; levels=0.01727->0.00511
data_robot_give_0526,000015,take the marker from the human,0,82,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=83-94; levels=0.01611->0.00493
data_robot_give_0526,000015,take the marker from the human,83,149,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=83-94; levels=0.01611->0.00493
data_robot_give_0526,000016,take the marker from the human,0,92,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.01645->0.00562
data_robot_give_0526,000016,take the marker from the human,93,175,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.01645->0.00562
data_robot_give_0526,000017,take the marker from the human,0,93,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=94-105; levels=0.01845->0.00563
data_robot_give_0526,000017,take the marker from the human,94,174,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=94-105; levels=0.01845->0.00563
data_robot_give_0526,000018,take the marker from the human,0,102,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=103-114; levels=0.01452->0.00563
data_robot_give_0526,000018,take the marker from the human,103,171,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=103-114; levels=0.01452->0.00563
data_robot_give_0526,000019,take the marker from the human,0,91,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=92-103; levels=0.01864->0.00578
data_robot_give_0526,000019,take the marker from the human,92,169,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=92-103; levels=0.01864->0.00578
data_robot_give_0526,000020,take the marker from the human,0,91,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=92-103; levels=0.01728->0.00539
data_robot_give_0526,000020,take the marker from the human,92,166,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=92-103; levels=0.01728->0.00539
data_robot_give_0526,000021,take the marker from the human,0,88,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=89-100; levels=0.02276->0.00565
data_robot_give_0526,000021,take the marker from the human,89,165,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=89-100; levels=0.02276->0.00565
data_robot_give_0526,000022,take the marker from the human,0,98,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=99-110; levels=0.01728->0.00535
data_robot_give_0526,000022,take the marker from the human,99,171,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=99-110; levels=0.01728->0.00535
data_robot_give_0526,000023,take the marker from the human,0,101,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=102-113; levels=0.02115->0.00511
data_robot_give_0526,000023,take the marker from the human,102,183,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=102-113; levels=0.02115->0.00511
data_robot_give_0526,000024,take the marker from the human,0,96,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=97-108; levels=0.01663->0.00542
data_robot_give_0526,000024,take the marker from the human,97,186,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=97-108; levels=0.01663->0.00542
data_robot_give_0526,000025,take the marker from the human,0,92,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.02000->0.00534
data_robot_give_0526,000025,take the marker from the human,93,186,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.02000->0.00534
data_robot_give_0526,000026,take the marker from the human,0,95,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=96-107; levels=0.02092->0.00519
data_robot_give_0526,000026,take the marker from the human,96,176,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=96-107; levels=0.02092->0.00519
data_robot_give_0526,000027,take the marker from the human,0,86,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.02138->0.00564
data_robot_give_0526,000027,take the marker from the human,87,175,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.02138->0.00564
data_robot_give_0526,000028,take the marker from the human,0,103,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=104-115; levels=0.01844->0.00542
data_robot_give_0526,000028,take the marker from the human,104,201,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=104-115; levels=0.01844->0.00542
data_robot_give_0526,000029,take the marker from the human,0,92,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.01961->0.00517
data_robot_give_0526,000029,take the marker from the human,93,176,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.01961->0.00517
data_robot_pull_0526,000000,give the marker to the human,0,100,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=101-112; levels=0.00587->0.02119
data_robot_pull_0526,000000,give the marker to the human,101,164,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=101-112; levels=0.00587->0.02119
data_robot_pull_0526,000001,give the marker to the human,0,88,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=89-100; levels=0.00565->0.02371
data_robot_pull_0526,000001,give the marker to the human,89,151,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=89-100; levels=0.00565->0.02371
data_robot_pull_0526,000002,give the marker to the human,0,94,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=95-106; levels=0.00545->0.02140
data_robot_pull_0526,000002,give the marker to the human,95,167,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=95-106; levels=0.00545->0.02140
data_robot_pull_0526,000003,give the marker to the human,0,76,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=77-88; levels=0.00585->0.02548
data_robot_pull_0526,000003,give the marker to the human,77,133,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=77-88; levels=0.00585->0.02548
data_robot_pull_0526,000004,give the marker to the human,0,67,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=68-79; levels=0.00540->0.02157
data_robot_pull_0526,000004,give the marker to the human,68,118,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=68-79; levels=0.00540->0.02157
data_robot_pull_0526,000005,give the marker to the human,0,61,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=62-73; levels=0.00539->0.02185
data_robot_pull_0526,000005,give the marker to the human,62,111,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=62-73; levels=0.00539->0.02185
data_robot_pull_0526,000006,give the marker to the human,0,62,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=63-74; levels=0.00564->0.02189
data_robot_pull_0526,000006,give the marker to the human,63,112,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=63-74; levels=0.00564->0.02189
data_robot_pull_0526,000007,give the marker to the human,0,71,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=72-83; levels=0.00584->0.02095
data_robot_pull_0526,000007,give the marker to the human,72,126,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=72-83; levels=0.00584->0.02095
data_robot_pull_0526,000008,give the marker to the human,0,74,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=75-86; levels=0.00510->0.01684
data_robot_pull_0526,000008,give the marker to the human,75,116,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=75-86; levels=0.00510->0.01684
data_robot_pull_0526,000009,give the marker to the human,0,68,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=69-80; levels=0.00516->0.02064
data_robot_pull_0526,000009,give the marker to the human,69,113,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=69-80; levels=0.00516->0.02064
data_robot_pull_0526,000010,give the marker to the human,0,68,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=69-80; levels=0.00512->0.01753
data_robot_pull_0526,000010,give the marker to the human,69,126,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=69-80; levels=0.00512->0.01753
data_robot_pull_0526,000011,give the marker to the human,0,71,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=72-83; levels=0.00542->0.01887
data_robot_pull_0526,000011,give the marker to the human,72,124,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=72-83; levels=0.00542->0.01887
data_robot_pull_0526,000012,give the marker to the human,0,68,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=69-80; levels=0.00584->0.02210
data_robot_pull_0526,000012,give the marker to the human,69,120,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=69-80; levels=0.00584->0.02210
data_robot_pull_0526,000013,give the marker to the human,0,73,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=74-85; levels=0.00558->0.02233
data_robot_pull_0526,000013,give the marker to the human,74,122,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=74-85; levels=0.00558->0.02233
data_robot_pull_0526,000014,give the marker to the human,0,89,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=90-101; levels=0.00564->0.02484
data_robot_pull_0526,000014,give the marker to the human,90,156,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=90-101; levels=0.00564->0.02484
data_robot_pull_0526,000015,give the marker to the human,0,78,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.00558->0.02277
data_robot_pull_0526,000015,give the marker to the human,79,128,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.00558->0.02277
data_robot_pull_0526,000016,give the marker to the human,0,64,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=65-76; levels=0.00492->0.02463
data_robot_pull_0526,000016,give the marker to the human,65,121,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=65-76; levels=0.00492->0.02463
data_robot_pull_0526,000017,give the marker to the human,0,86,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.00609->0.02117
data_robot_pull_0526,000017,give the marker to the human,87,131,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.00609->0.02117
data_robot_pull_0526,000018,give the marker to the human,0,72,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=73-84; levels=0.00609->0.01912
data_robot_pull_0526,000018,give the marker to the human,73,118,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=73-84; levels=0.00609->0.01912
data_robot_pull_0526,000019,give the marker to the human,0,80,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=81-92; levels=0.00565->0.01936
data_robot_pull_0526,000019,give the marker to the human,81,126,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=81-92; levels=0.00565->0.01936
data_robot_pull_0526,000020,give the marker to the human,0,93,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=94-105; levels=0.00564->0.02371
data_robot_pull_0526,000020,give the marker to the human,94,136,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=94-105; levels=0.00564->0.02371
data_robot_pull_0526,000021,give the marker to the human,0,79,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=80-91; levels=0.00540->0.02094
data_robot_pull_0526,000021,give the marker to the human,80,123,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=80-91; levels=0.00540->0.02094
data_robot_pull_0526,000022,give the marker to the human,0,78,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.00542->0.01935
data_robot_pull_0526,000022,give the marker to the human,79,128,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.00542->0.01935
data_robot_pull_0526,000023,give the marker to the human,0,80,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=81-92; levels=0.00513->0.02255
data_robot_pull_0526,000023,give the marker to the human,81,125,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=81-92; levels=0.00513->0.02255
data_robot_pull_0526,000024,give the marker to the human,0,95,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=96-107; levels=0.00542->0.02000
data_robot_pull_0526,000024,give the marker to the human,96,146,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=96-107; levels=0.00542->0.02000
data_robot_pull_0526,000025,give the marker to the human,0,84,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=85-96; levels=0.00542->0.02210
data_robot_pull_0526,000025,give the marker to the human,85,132,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=85-96; levels=0.00542->0.02210
data_robot_pull_0526,000026,give the marker to the human,0,82,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=83-94; levels=0.00470->0.02076
data_robot_pull_0526,000026,give the marker to the human,83,123,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=83-94; levels=0.00470->0.02076
data_robot_pull_0526,000027,give the marker to the human,0,87,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=88-99; levels=0.00538->0.02071
data_robot_pull_0526,000027,give the marker to the human,88,131,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=88-99; levels=0.00538->0.02071
data_robot_pull_0526,000028,give the marker to the human,0,79,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=80-91; levels=0.00584->0.02277
data_robot_pull_0526,000028,give the marker to the human,80,120,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=80-91; levels=0.00584->0.02277
data_robot_pull_0526,000029,give the marker to the human,0,83,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=84-95; levels=0.00584->0.02257
data_robot_pull_0526,000029,give the marker to the human,84,125,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=84-95; levels=0.00584->0.02257
