dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
data_robot_give_0526,000000,take the marker from the human,0,78,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01702->0.00452
data_robot_give_0526,000007,take the marker from the human,98,109,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01544->0.00541
data_robot_give_0526,000007,take the marker from the human,110,173,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01544->0.00541
data_robot_give_0526,000008,take the marker from the human,0,86,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01682->0.00538
data_robot_give_0526,000008,take the marker from the human,87,98,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01682->0.00538
data_robot_give_0526,000008,take the marker from the human,99,154,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01682->0.00538
data_robot_give_0526,000009,take the marker from the human,0,95,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02119->0.00492
data_robot_give_0526,000009,take the marker from the human,96,107,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02119->0.00492
data_robot_give_0526,000009,take the marker from the human,108,140,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02119->0.00492
data_robot_give_0526,000010,take the marker from the human,0,83,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02029->0.00496
data_robot_give_0526,000010,take the marker from the human,84,95,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02029->0.00496
data_robot_give_0526,000010,take the marker from the human,96,157,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02029->0.00496
data_robot_give_0526,000011,take the marker from the human,0,86,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02001->0.00496
data_robot_give_0526,000011,take the marker from the human,87,98,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02001->0.00496
data_robot_give_0526,000011,take the marker from the human,99,160,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02001->0.00496
data_robot_give_0526,000012,take the marker from the human,0,92,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01704->0.00541
data_robot_give_0526,000012,take the marker from the human,93,104,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01704->0.00541
data_robot_give_0526,000012,take the marker from the human,105,165,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01704->0.00541
data_robot_give_0526,000013,take the marker from the human,0,99,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01931->0.00512
data_robot_give_0526,000013,take the marker from the human,100,111,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01931->0.00512
data_robot_give_0526,000013,take the marker from the human,112,170,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01931->0.00512
data_robot_give_0526,000014,take the marker from the human,0,77,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01727->0.00511
data_robot_give_0526,000014,take the marker from the human,78,89,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01727->0.00511
data_robot_give_0526,000014,take the marker from the human,90,121,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01727->0.00511
data_robot_give_0526,000015,take the marker from the human,0,82,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01611->0.00493
data_robot_give_0526,000015,take the marker from the human,83,94,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01611->0.00493
data_robot_give_0526,000015,take the marker from the human,95,149,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01611->0.00493
data_robot_give_0526,000016,take the marker from the human,0,92,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01645->0.00562
data_robot_give_0526,000016,take the marker from the human,93,104,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01645->0.00562
data_robot_give_0526,000016,take the marker from the human,105,175,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01645->0.00562
data_robot_give_0526,000017,take the marker from the human,0,93,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01845->0.00563
data_robot_give_0526,000017,take the marker from the human,94,105,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01845->0.00563
data_robot_give_0526,000017,take the marker from the human,106,174,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01845->0.00563
data_robot_give_0526,000018,take the marker from the human,0,102,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01452->0.00563
data_robot_give_0526,000018,take the marker from the human,103,114,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01452->0.00563
data_robot_give_0526,000018,take the marker from the human,115,171,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01452->0.00563
data_robot_give_0526,000019,take the marker from the human,0,91,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01864->0.00578
data_robot_give_0526,000019,take the marker from the human,92,103,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01864->0.00578
data_robot_give_0526,000019,take the marker from the human,104,169,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01864->0.00578
data_robot_give_0526,000020,take the marker from the human,0,91,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01728->0.00539
data_robot_give_0526,000020,take the marker from the human,92,103,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01728->0.00539
data_robot_give_0526,000020,take the marker from the human,104,166,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01728->0.00539
data_robot_give_0526,000021,take the marker from the human,0,88,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02276->0.00565
data_robot_give_0526,000021,take the marker from the human,89,100,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02276->0.00565
data_robot_give_0526,000021,take the marker from the human,101,165,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02276->0.00565
data_robot_give_0526,000022,take the marker from the human,0,98,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01728->0.00535
data_robot_give_0526,000022,take the marker from the human,99,110,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01728->0.00535
data_robot_give_0526,000022,take the marker from the human,111,171,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01728->0.00535
data_robot_give_0526,000023,take the marker from the human,0,101,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02115->0.00511
data_robot_give_0526,000023,take the marker from the human,102,113,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02115->0.00511
data_robot_give_0526,000023,take the marker from the human,114,183,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02115->0.00511
data_robot_give_0526,000024,take the marker from the human,0,96,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01663->0.00542
data_robot_give_0526,000024,take the marker from the human,97,108,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01663->0.00542
data_robot_give_0526,000024,take the marker from the human,109,186,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01663->0.00542
data_robot_give_0526,000025,take the marker from the human,0,92,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02000->0.00534
data_robot_give_0526,000025,take the marker from the human,93,104,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02000->0.00534
data_robot_give_0526,000025,take the marker from the human,105,186,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02000->0.00534
data_robot_give_0526,000026,take the marker from the human,0,95,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02092->0.00519
data_robot_give_0526,000026,take the marker from the human,96,107,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02092->0.00519
data_robot_give_0526,000026,take the marker from the human,108,176,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02092->0.00519
data_robot_give_0526,000027,take the marker from the human,0,86,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02138->0.00564
data_robot_give_0526,000027,take the marker from the human,87,98,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02138->0.00564
data_robot_give_0526,000027,take the marker from the human,99,175,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.02138->0.00564
data_robot_give_0526,000028,take the marker from the human,0,103,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01844->0.00542
data_robot_give_0526,000028,take the marker from the human,104,115,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01844->0.00542
data_robot_give_0526,000028,take the marker from the human,116,201,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01844->0.00542
data_robot_give_0526,000029,take the marker from the human,0,92,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01961->0.00517
data_robot_give_0526,000029,take the marker from the human,93,104,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01961->0.00517
data_robot_give_0526,000029,take the marker from the human,105,176,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01961->0.00517
data_robot_pull_0526,000000,give the marker to the human,0,100,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00587->0.02119
data_robot_pull_0526,000000,give the marker to the human,101,112,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00587->0.02119
data_robot_pull_0526,000000,give the marker to the human,113,164,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00587->0.02119
data_robot_pull_0526,000001,give the marker to the human,0,88,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00565->0.02371
data_robot_pull_0526,000001,give the marker to the human,89,100,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00565->0.02371
data_robot_pull_0526,000001,give the marker to the human,101,151,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00565->0.02371
data_robot_pull_0526,000002,give the marker to the human,0,94,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00545->0.02140
data_robot_pull_0526,000002,give the marker to the human,95,106,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00545->0.02140
data_robot_pull_0526,000002,give the marker to the human,107,167,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00545->0.02140
data_robot_pull_0526,000003,give the marker to the human,0,76,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00585->0.02548
data_robot_pull_0526,000003,give the marker to the human,77,88,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00585->0.02548
data_robot_pull_0526,000003,give the marker to the human,89,133,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00585->0.02548
data_robot_pull_0526,000004,give the marker to the human,0,67,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00540->0.02157
data_robot_pull_0526,000004,give the marker to the human,68,79,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00540->0.02157
data_robot_pull_0526,000004,give the marker to the human,80,118,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00540->0.02157
data_robot_pull_0526,000005,give the marker to the human,0,61,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00539->0.02185
data_robot_pull_0526,000005,give the marker to the human,62,73,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00539->0.02185
data_robot_pull_0526,000005,give the marker to the human,74,111,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00539->0.02185
data_robot_pull_0526,000006,give the marker to the human,0,62,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02189
data_robot_pull_0526,000006,give the marker to the human,63,74,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02189
data_robot_pull_0526,000006,give the marker to the human,75,112,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02189
data_robot_pull_0526,000007,give the marker to the human,0,71,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02095
data_robot_pull_0526,000007,give the marker to the human,72,83,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02095
data_robot_pull_0526,000007,give the marker to the human,84,126,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02095
data_robot_pull_0526,000008,give the marker to the human,0,74,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00510->0.01684
data_robot_pull_0526,000008,give the marker to the human,75,86,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00510->0.01684
data_robot_pull_0526,000008,give the marker to the human,87,116,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00510->0.01684
data_robot_pull_0526,000009,give the marker to the human,0,68,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00516->0.02064
data_robot_pull_0526,000009,give the marker to the human,69,80,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00516->0.02064
data_robot_pull_0526,000009,give the marker to the human,81,113,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00516->0.02064
data_robot_pull_0526,000010,give the marker to the human,0,68,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00512->0.01753
data_robot_pull_0526,000010,give the marker to the human,69,80,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00512->0.01753
data_robot_pull_0526,000010,give the marker to the human,81,126,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00512->0.01753
data_robot_pull_0526,000011,give the marker to the human,0,71,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.01887
data_robot_pull_0526,000011,give the marker to the human,72,83,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.01887
data_robot_pull_0526,000011,give the marker to the human,84,124,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.01887
data_robot_pull_0526,000012,give the marker to the human,0,68,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02210
data_robot_pull_0526,000012,give the marker to the human,69,80,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02210
data_robot_pull_0526,000012,give the marker to the human,81,120,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02210
data_robot_pull_0526,000013,give the marker to the human,0,73,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00558->0.02233
data_robot_pull_0526,000013,give the marker to the human,74,85,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00558->0.02233
data_robot_pull_0526,000013,give the marker to the human,86,122,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00558->0.02233
data_robot_pull_0526,000014,give the marker to the human,0,89,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02484
data_robot_pull_0526,000014,give the marker to the human,90,101,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02484
data_robot_pull_0526,000014,give the marker to the human,102,156,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02484
data_robot_pull_0526,000015,give the marker to the human,0,78,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00558->0.02277
data_robot_pull_0526,000015,give the marker to the human,79,90,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00558->0.02277
data_robot_pull_0526,000015,give the marker to the human,91,128,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00558->0.02277
data_robot_pull_0526,000016,give the marker to the human,0,64,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00492->0.02463
data_robot_pull_0526,000016,give the marker to the human,65,76,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00492->0.02463
data_robot_pull_0526,000016,give the marker to the human,77,121,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00492->0.02463
data_robot_pull_0526,000017,give the marker to the human,0,86,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00609->0.02117
data_robot_pull_0526,000017,give the marker to the human,87,98,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00609->0.02117
data_robot_pull_0526,000017,give the marker to the human,99,131,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00609->0.02117
data_robot_pull_0526,000018,give the marker to the human,0,72,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00609->0.01912
data_robot_pull_0526,000018,give the marker to the human,73,84,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00609->0.01912
data_robot_pull_0526,000018,give the marker to the human,85,118,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00609->0.01912
data_robot_pull_0526,000019,give the marker to the human,0,80,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00565->0.01936
data_robot_pull_0526,000019,give the marker to the human,81,92,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00565->0.01936
data_robot_pull_0526,000019,give the marker to the human,93,126,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00565->0.01936
data_robot_pull_0526,000020,give the marker to the human,0,93,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02371
data_robot_pull_0526,000020,give the marker to the human,94,105,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02371
data_robot_pull_0526,000020,give the marker to the human,106,136,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00564->0.02371
data_robot_pull_0526,000021,give the marker to the human,0,79,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00540->0.02094
data_robot_pull_0526,000021,give the marker to the human,80,91,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00540->0.02094
data_robot_pull_0526,000021,give the marker to the human,92,123,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00540->0.02094
data_robot_pull_0526,000022,give the marker to the human,0,78,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.01935
data_robot_pull_0526,000022,give the marker to the human,79,90,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.01935
data_robot_pull_0526,000022,give the marker to the human,91,128,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.01935
data_robot_pull_0526,000023,give the marker to the human,0,80,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00513->0.02255
data_robot_pull_0526,000023,give the marker to the human,81,92,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00513->0.02255
data_robot_pull_0526,000023,give the marker to the human,93,125,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00513->0.02255
data_robot_pull_0526,000024,give the marker to the human,0,95,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.02000
data_robot_pull_0526,000024,give the marker to the human,96,107,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.02000
data_robot_pull_0526,000024,give the marker to the human,108,146,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.02000
data_robot_pull_0526,000025,give the marker to the human,0,84,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.02210
data_robot_pull_0526,000025,give the marker to the human,85,96,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.02210
data_robot_pull_0526,000025,give the marker to the human,97,132,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00542->0.02210
data_robot_pull_0526,000026,give the marker to the human,0,82,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00470->0.02076
data_robot_pull_0526,000026,give the marker to the human,83,94,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00470->0.02076
data_robot_pull_0526,000026,give the marker to the human,95,123,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00470->0.02076
data_robot_pull_0526,000027,give the marker to the human,0,87,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00538->0.02071
data_robot_pull_0526,000027,give the marker to the human,88,99,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00538->0.02071
data_robot_pull_0526,000027,give the marker to the human,100,131,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00538->0.02071
data_robot_pull_0526,000028,give the marker to the human,0,79,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02277
data_robot_pull_0526,000028,give the marker to the human,80,91,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02277
data_robot_pull_0526,000028,give the marker to the human,92,120,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02277
data_robot_pull_0526,000029,give the marker to the human,0,83,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02257
data_robot_pull_0526,000029,give the marker to the human,84,95,open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02257
data_robot_pull_0526,000029,give the marker to the human,96,125,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.00584->0.02257
